RECORD,BBLE,B,BLOCK,LOT,EASEMENT,OWNER,BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,EXT,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,STADDR,ZIP,EXMPTCL,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,EXCD2,PERIOD,YEAR,VALTYPE,score1,score2,score1 rank,score2 rank,final
973912,5014000001,5,1400,1,,THE PORT OFNY & NJ,Y7,4,2800,3700,,2,3090000,1309500,1390500,1309500,1390500,6120,3668 WESTERN AVENUE,10303,,2,12,1197000,1278000,1197000,1278000,,FINAL,2010/11,AC-TR,286.6121937,88.46908309,1070943,1070944,1070943.5
464855,3061400001,3,6140,1,,PARKS AND RECREATION,Q1,4,150,999,,1,59900000,25515000,26955000,25515000,26955000,2231,BOBBY BELLO FIELD,11209,X1,20,40,22612950,24016950,22612950,24016950,,FINAL,2010/11,AC-TR,299.3651488,83.00276765,1070948,1070939,1070943.5
56136,1009950033,1,995,33,,ONE BRYANT PARK,O4,4,201,437,,55,1120000000,99000000,504000000,99000000,504000000,2500,1111 AVENUE OF THE AMER,10036,,64.43978678,87.82072964,87786900,557586900,87786900,557586900,,FINAL,2010/11,AC-TR,279.6953277,95.55520353,1070939,1070947,1070943
556911,3083380001,3,8338,1,,DEPT OF GENERAL SERVI,V3,1B,190,223,,4,150880125,9052808,9052808,9052808,9052808,2191,PAERDEGAT AVENUE S,11236,X1,39.5,82.66666667,,,,,,FINAL,2010/11,AC-TR,268.2296053,96.1047364,1070937,1070949,1070943
773562,4078250001,4,7825,1,,PARKS AND RECREATION,Q1,4,1585,2875,,1,117000000,51300000,52650000,51300000,52650000,2231,SPRINGFIELD BLVD,11364,X1,40,20,46980000,48330000,46980000,48330000,,FINAL,2010/11,AC-TR,281.7786797,87.41550177,1070941,1070943,1070942
764312,4072900001,4,7290,1,,PARKS AND RECREATION,Q1,4,2108,2192,,1,150815000,67050000,67866750,67050000,67866750,2231,196-10 UNION TURNPIKE,11366,X1,25,45,62730000,63546750,62730000,63546750,,FINAL,2010/11,AC-TR,277.6477206,83.45357337,1070938,1070940,1070939
47984,1008800024,1,880,24,,"BERKOWTIZ, ULWT LOUIS",W6,4,39,50,,2,138000000,11025000,62100000,11025000,62100000,3500,49 LEXINGTON AVENUE,10010,,39,50,9415800,56239200,9415800,56239200,,FINAL,2010/11,AC-TR,289.8342532,80.07925491,1070945,1070930,1070937.5
918305,4153080215,4,15308,215,,PARKS AND RECREATION,V0,1B,802,3,,4,36969766,2218186,2218186,2218186,2218186,4600,CROSS BAY BOULEVARD,11693,X3,39.5,82.66666667,,,,,,FINAL,2010/11,AC-TR,263.5916704,81.87428753,1070935,1070936,1070935.5
923883,4157450001,4,15745,1,,PARKS AND RECREATION,Q1,4,25,40,,1,22668000,9990000,10200600,9990000,10200600,2231,BEACH CHANNEL DRIVE,11691,X1,64.43978678,87.82072964,8919000,9107370,8919000,9107370,,FINAL,2010/11,AC-TR,259.0483405,82.3954148,1070933,1070937,1070935
216948,2046000012,2,4600,12,,"KUKIC, DILBER",V1,4,25,3,,5.446967885,3211927.522,600949.4334,1488705.342,0,0,,WHITE PLAINS ROAD,10467,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,243.3275403,84.28976487,1070928,1070942,1070935
177646,2034780002,2,3478,2,,PARKS AND RECREATION,Q1,4,700,1463,,1,36200000,16290000,16290000,16290000,16290000,2231,LACOMBE AVENUE,10473,X1,30,18,15831000,15831000,15831000,15831000,,FINAL,2010/11,AC-TR,281.169502,78.96909366,1070940,1070929,1070934.5
131603,1018500001,1,1850,1,,PARKS AND RECREATION,Q1,4,3490,500,,1,46968000,20925000,21135600,20925000,21135600,2231,MORNINGSIDE DRIVE,10026,X1,14,34,18701996,18890366,18701996,18890366,,FINAL,2010/11,AC-TR,288.7465376,75.46192139,1070944,1070925,1070934.5
86946,1012710038,1,1271,38,,712 FIFTH AVENUE L P,O3,4,28,150,E,50,275000000,40500000,123750000,0,0,,712 5 AVENUE,10019,,25,115,33300000,114690002,,,,FINAL,2010/11,AC-TR,298.8127478,74.9177613,1070947,1070920,1070933.5
85884,1012540001,1,1254,1,,PARKS AND RECREATION,Q1,4,25,57,,1,98235000,44055000,44205750,44055000,44205750,2231,RIVERSIDE DRIVE,10025,X1,25,57,40991850,41134050,40991850,41134050,,FINAL,2010/11,AC-TR,263.619821,80.31411456,1070936,1070931,1070933.5
340900,3022150050,3,2215,50,,PARKS AND RECREATION,Q1,4,345,717,,1,3319000,1444500,1493550,1444500,1493550,2231,KENT AVENUE,11211,X1,10,10,1291500,1335429,1291500,1335429,,FINAL,2010/11,AC-TR,252.2866362,81.04718428,1070932,1070934,1070933
109067,1014840026,1,1484,26,,ONE EAST RIVER PLACER,D8,2,120,209,,50,118000000,11970000,53100000,0,0,,530 EAST 73 STREET,10021,,50,28,11970000,49203000,,,,FINAL,2010/11,AC-TR,216.5435501,103.0451063,1070912,1070951,1070931.5
209712,2043350001,2,4335,1,,PARKS AND RECREATION,Q1,4,4824,3031,,1,205000000,89100000,92250000,89100000,92250000,2231,3410 BRUCKNER BOULEVARD,10465,X1,20,88,84780000,87840000,84780000,87840000,,FINAL,2010/11,AC-TR,262.721329,77.23763208,1070934,1070928,1070931
991517,5024520029E,5,2452,29,E,,Z7,4,6,10,,5.446967885,3211927.522,600949.4334,1488705.342,0,0,,VENUS LANE,10314,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,244.5993253,80.3883692,1070929,1070932,1070930.5
621689,4014920034,4,1492,34,,DCAS,V9,4,2,37,,5.446967885,3211927.522,600949.4334,1488705.342,0,0,,BAXTER AVENUE,11373,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,241.4948939,81.33432814,1070924,1070935,1070929.5
817349,4096460044,4,9646,44,,GILBERT GONZALEZ,V9,4,4,24,,5.446967885,3211927.522,600949.4334,1488705.342,0,0,,139 STREET,11435,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,243.1721947,76.77456358,1070927,1070927,1070927
918205,4152000001,4,15200,1,,DEPT RE-CITY OF NY,V9,4,999,999,,5.446967885,799808000,359913600,359913600,359913600,359913600,4600,159 STREET,11434,X1,64.43978678,87.82072964,194005440,194005440,194005440,194005440,,FINAL,2010/11,AC-TR,242.662977,76.62122492,1070925,1070926,1070925.5
209714,2043360001,2,4336,1,,PARKS AND RECREATION,Q1,4,124,422,,1,58700000,23715000,26415000,23715000,26415000,2231,2855 BRONX PARK EAST,10467,X1,18,25,21240000,23940000,21240000,23940000,,FINAL,2010/11,AC-TR,226.2521386,80.66075444,1070916,1070933,1070924.5
638993,4020770098,4,2077,98,,ALEXANDER'S OF REGOPA,G7,4,379,205,,1,2328900,1013220,1048005,0,0,,HORACE HARDING EXPWY,11374,,6,5,1273644,1299006,,,,FINAL,2010/11,AC-TR,250.9132041,70.89911318,1070931,1070917,1070924
248665,2056500001,2,5650,1,,PARKS AND RECREATION,Q1,4,600,4000,E,6,190000000,79200000,85500000,79200000,85500000,2231,PELHAM BAY PARK,10462,X1,64.43978678,87.82072964,77130000,83430000,77130000,83430000,,FINAL,2010/11,AC-TR,208.5562969,82.70712405,1070909,1070938,1070923.5
917060,4142130002,4,14213,2,,DEPT RE-CITY OF NY,Q1,4,1295,1327,,1,18310000,8235000,8239500,8235000,8235000,4600,93-02 165 AVENUE,11414,X1,18,18,7442100,7446600,7442100,7442100,,FINAL,2010/11,AC-TR,244.7263418,70.80455988,1070930,1070916,1070923
451672,3058320002,3,5832,2,,PARKS AND RECREATION,Q1,4,1044,1325,,1,30190000,13095000,13585500,13095000,13585500,2231,COLONIAL ROAD,11220,X1,18,38,11700000,12139290,11700000,12139290,,FINAL,2010/11,AC-TR,242.7689375,71.62652839,1070926,1070918,1070922
243059,2055060001,2,5506,1,,SILVER BEACH GARDENS,A8,1D,999,556,,1,55860000,1217059,2258636,403350,403350,1010,SILVER BEACH,10465,,16,30,,,,,1015,FINAL,2010/11,AC-TR,235.4773749,74.91150108,1070923,1070919,1070921
994813,5028590202E,5,2859,202,E,,Z7,4,13,5,,5.446967885,3211927.522,600949.4334,1488705.342,0,0,,DAYNA DRIVE,10305,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,229.7546794,75.25566549,1070919.5,1070922.5,1070921
994815,5028590203E,5,2859,203,E,,Z7,4,13,5,,5.446967885,3211927.522,600949.4334,1488705.342,0,0,,DAYNA DRIVE,10305,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,229.7546794,75.25566549,1070919.5,1070922.5,1070921
994817,5028590204E,5,2859,204,E,,Z7,4,13,5,,5.446967885,3211927.522,600949.4334,1488705.342,0,0,,DAYNA DRIVE,10305,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,229.7546794,75.25566549,1070919.5,1070922.5,1070921
994819,5028590205E,5,2859,205,E,,Z7,4,13,5,,5.446967885,3211927.522,600949.4334,1488705.342,0,0,,DAYNA DRIVE,10305,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,229.7546794,75.25566549,1070919.5,1070922.5,1070921
174539,2033600020,2,3360,20,,PARKS AND RECREATION,Q1,4,341,201,,1,43030000,19350000,19363500,19350000,19363500,2231,560 EAST 233 STREET,10470,X1,20,20,18528300,18541800,18528300,18541800,,FINAL,2010/11,AC-TR,217.3330537,70.15154019,1070913,1070915,1070914
12076,1001790001,1,179,1,,15 WORTH STREET PROPE,G6,4,74,150,,1,2610000,1170000,1174500,0,0,,170 WEST BROADWAY,10013,,5,5,936900,941400,,,,FINAL,2010/11,AC-TR,228.1801869,64.963551,1070917,1070910,1070913.5
334957,3020250001,3,2025,1,,PARKS AND RECREATION,Q1,4,524,561,,1,7514000,3213000,3381300,3213000,3381300,2231,PARK AVENUE,11205,X1,10,10,2871000,3021480,2871000,3021480,,FINAL,2010/11,AC-TR,231.9155054,62.80217758,1070922,1070905,1070913.5
994821,5028590206E,5,2859,206,E,,Z7,4,14,5,,5.446967885,3211927.522,600949.4334,1488705.342,0,0,,DAYNA DRIVE,10305,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,213.2746474,69.7811712,1070911,1070914,1070912.5
992071,5026200384E,5,2620,384,E,,Z7,4,14,5,,5.446967885,3211927.522,600949.4334,1488705.342,0,0,,,10314,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,209.5236867,68.70530608,1070910,1070912,1070911
26243,1005490001,1,549,1,,PARKS AND RECREATION,Q1,4,950,446,,1,150695000,67608000,67812750,0,0,,WASHINGTON SQUARE N,10003,X1,52,23,60424200,60606990,,,,FINAL,2010/11,AC-TR,203.7091531,69.38557134,1070905,1070913,1070909
330292,3019190050,3,1919,50,,PRATT INSTITUTE,Z9,4,60,540,,1,1016250,454500,457313,454500,457313,1601,189 WILLOUGHBY AVENUE,11205,X7,3,5,406980,409490,406980,409490,,FINAL,2010/11,AC-TR,218.1199382,59.06265607,1070914,1070901,1070907.5
773735,4078500020,4,7850,20,,PARKS AND RECREATION,Q1,4,460,847,,1,94100000,42300000,42345000,42300000,42345000,2231,CLOVERDALE BOULEVARD,11364,X1,18,50,38547000,38592000,38547000,38592000,,FINAL,2010/11,AC-TR,205.8795866,63.29254874,1070907,1070907,1070907
56134,1009950005,1,995,5,,UDC,O3,4,200,187,,48,727000000,71550000,327150000,71550000,327150000,3410,1472 BROADWAY,10036,,64.43978678,87.82072964,71550000,354239997,71550000,354239997,,FINAL,2010/11,AC-TR,188.8764414,65.04953989,1070897,1070911,1070904
88389,1012880027,1,1288,27,,PARK AVENUE PLAZA OWN,O4,4,55,100,,40,320000000,38070000,144000000,0,0,,57 EAST 52 STREET,10022,,55,100,38070000,134370000,,,,FINAL,2010/11,AC-TR,223.9848637,55.71471718,1070915,1070892,1070903.5
991783,5025200001,5,2520,1,,PARKS AND RECREATION,Y6,4,260,40,,2,48500000,17595000,21825000,17595000,21825000,2171,2171 RICHMOND AVENUE,10314,X1,20,30,17334000,21564000,17334000,21564000,,FINAL,2010/11,AC-TR,194.2286246,60.44054176,1070902,1070904,1070903
79817,1011870001,1,1187,1,,PARKS AND RECREATION,Q1,4,1631,460,,1,41555000,18630000,18699750,18630000,18699750,2231,WEST 72 STREET,10024,X1,20,20,16650000,16712640,16650000,16712640,,FINAL,2010/11,AC-TR,199.9525387,59.7669298,1070903,1070902,1070902.5
259235,3002580001,3,258,1,,PARKS AND RECREATION,Q2,4,316,555,,1,2764000,1188000,1243800,1188000,1243800,2231,46 COLUMBIA PLACE,11201,X1,5,10,1061100,1111122,1061100,1111122,,FINAL,2010/11,AC-TR,208.0682795,57.4681092,1070908,1070897,1070902.5
918920,4154500060,4,15450,60,,DEPT RE-CITY OF NY,V0,1B,3307,986,,4,105341273,6320476,6320476,6320476,6320476,4600,CROSS BAY BOULEVARD,11693,X3,39.5,82.66666667,,,,,,FINAL,2010/11,AC-TR,185.7231683,63.35296416,1070894,1070908,1070901
934750,4163240101,4,16324,101,,PARKS AND RECREATION,V0,1B,908,220,,4,102742575,6164555,6164555,6164555,6164555,2231,BEACH 149 STREET,11694,X1,39.5,82.66666667,,,,,,FINAL,2010/11,AC-TR,181.7965503,64.33858032,1070892,1070909,1070900.5
398278,3044520170,3,4452,170,,HOUSING PRESERVATION,V0,1B,2811,2285,,4,308952700,2546497,2546497,2546497,2546497,2202,VANDALIA AVENUE,11207,X1,39.5,82.66666667,,,,,,FINAL,2010/11,AC-TR,183.397635,63.26675115,1070893,1070906,1070899.5
116646,1015410001,1,1541,1,,YORKVILLE PLAZA ASSOC,D6,2,25,100,,35,58100000,7740000,26145000,0,0,,1695 3 AVENUE,10128,,72,150,7740000,25641000,,,,FINAL,2010/11,AC-TR,191.9213341,59.04015507,1070899,1070900,1070899.5
85962,1012600014,1,1260,14,,WEST 44TH STREET OWNE,H2,4,18,100,,30,103100000,10035000,46395000,0,0,,45 WEST 44 STREET,10036,,37,200,6714000,44222500,,,,FINAL,2010/11,AC-TR,193.7981661,56.63260811,1070901,1070894,1070897.5
2,1000010201,1,1,201,,U S GOVT LAND & BLDGS,Z9,4,27,133.8715675,,5.446967885,193800000,14310000,87210000,14310000,87210000,4600,1 ELLIS ISLAND,10004,X3,64.43978678,87.82072964,11111400,80690400,11111400,80690400,,FINAL,2010/11,AC-TR,204.0591026,54.44937611,1070906,1070889,1070897.5
33564,1006890017,1,689,17,,"HLP PROPERTIES, LLC",G6,4,380,184,,1,8005000,3600000,3602250,0,0,,501 WEST 17 STREET,10011,,8,12,2956545,2958795,,,,FINAL,2010/11,AC-TR,201.2757527,53.98814105,1070904,1070887,1070895.5
64271,1010491004,1,1049,1004,,AOL TIME WARNER REALT,R5,4,93.93711924,133.8715675,,55,436000000,36616950,196200000,0,0,,10 COLUMBUS CIRCLE,10019,,64.43978678,87.82072964,36616950,155349812,,,,FINAL,2010/11,AC-TR,192.1921905,54.21824021,1070900,1070888,1070894
